,context,question,answer
103,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,What French composer wrote the original opera ''Carmen'' in the 19th century?,Georges Bizet
104,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,What album caused a lawsuit to be filed in 2001?,Survivor
105,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,Independent Women Part I was on which 2000 film's soundtrack?,Charlie's Angels.
106,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,Which film did Beyoncé star in 2001 with Mekhi Phifer?,Carmen: A Hip Hopera
107,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,What was the name of Destiny Child's third album?,Survivor
108,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,Who filed a lawsuit over Survivor?,Luckett and Roberson
109,stay set member record mugwump woman part iodine look on soundtrack movie angel information_technology become single topping billboard hot hundred chart eleven back-to-back week inch early while destiny child Washington complete one-third album land angstrom major function inch movie angstrom hip star aboard American actor set inch Philadelphia movie be angstrom modern interpretation nineteenth century opera by French composer George Bizet one-third album survivor Washington let_go_of inch May file angstrom lawsuit claim song be aim astatine album debut astatine number one on billboard two_hundred gross_sales transcript sell album engender other hit title path survivor latter gain group angstrom award best roentgen bacillus performance by angstrom couple Oregon group vocal_music after let_go_of vacation album eight days Christmas inch October group announce angstrom suspension foster prosecute solo career,When did Destiny's Child announce their hiatus?,October 2001
110,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",Mike Myers
111,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?","UK, Norway, and Belgium"
112,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,Beyonce starred with Cuba Gooding Jr. in which film?,The Fighting Temptations
113,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",Missy Elliott
114,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,Which other song from the soundtrack did better in the charts?,Summertime
115,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,What film did Beyonce appear in with Mike Myers?,Austin Powers in Goldmember
116,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"What large amount did the movie ""Goldmember"" gross?",73 million
117,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",musical comedy
118,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,What song was the lead single from the film's sound track?,Fighting Temptations
119,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"How did the critics view the movie, ''The Fighting Temptations''?",mixed reviews
120,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,What film did Beyoncé star in with Mike Myers in 2002?,Austin Powers in Goldmember
121,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,What was Beyoncé's character called in Austin Powers in Goldmember?,Foxxy Cleopatra
122,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,Work It Out
123,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",The Fighting Temptations
124,inch July continue acting career playing Cleopatra aboard microphone inch comedy movie Austin power inch spend information_technology first weekend atop United_States box office gross seventy-three million let_go_of work information_technology out arsenic lead single information_technology soundtrack album enter top ten inch United_Kingdom Norway Belgium inch star antonym Cuba younger inch musical comedy fight temptation arsenic angstrom single mother fictional_character falls inch love movie receive blend reappraisal critic merely gross thirty million inch United_States_government let_go_of fight temptation arsenic lead single movie soundtrack album girl megahertz free Washington besides use promote movie another contribution soundtrack summer do better on United_States chart,What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptations
